@relation 'german_credit-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T 0.01524255 -N -1'

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute duration {'\'(-inf-15.5]\'','\'(15.5-inf)\''}
@attribute credit_amount {'\'(-inf-3913.5]\'','\'(3913.5-inf)\''}
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute class {good,bad}

@data
<0,'critical/other existing credit','no known savings',radio/tv,'\'(-inf-15.5]\'','\'(-inf-3913.5]\'','real estate',good
0<=X<200,'existing paid',<100,radio/tv,'\'(15.5-inf)\'','\'(3913.5-inf)\'','real estate',bad
'no checking','critical/other existing credit',<100,education,'\'(-inf-15.5]\'','\'(-inf-3913.5]\'','real estate',good
<0,'existing paid',<100,furniture/equipment,'\'(15.5-inf)\'','\'(3913.5-inf)\'','life insurance',good
<0,'delayed previously',<100,'new car','\'(15.5-inf)\'','\'(3913.5-inf)\'','no known property',bad
'no checking','existing paid','no known savings',education,'\'(15.5-inf)\'','\'(3913.5-inf)\'','no known property',good
'no checking','existing paid',500<=X<1000,furniture/equipment,'\'(15.5-inf)\'','\'(-inf-3913.5]\'','life insurance',good
0<=X<200,'existing paid',<100,'used car','\'(15.5-inf)\'','\'(3913.5-inf)\'',car,good
'no checking','existing paid',>=1000,radio/tv,'\'(-inf-15.5]\'','\'(-inf-3913.5]\'','real estate',good
0<=X<200,'critical/other existing credit',<100,'new car','\'(15.5-inf)\'','\'(3913.5-inf)\'',car,bad
0<=X<200,'existing paid',<100,'new car','\'(-inf-15.5]\'','\'(-inf-3913.5]\'',car,bad
<0,'existing paid',<100,business,'\'(15.5-inf)\'','\'(3913.5-inf)\'','life insurance',bad
0<=X<200,'existing paid',<100,radio/tv,'\'(-inf-15.5]\'','\'(-inf-3913.5]\'',car,good
<0,'critical/other existing credit',<100,'new car','\'(15.5-inf)\'','\'(-inf-3913.5]\'',car,bad
<0,'existing paid',<100,'new car','\'(-inf-15.5]\'','\'(-inf-3913.5]\'',car,good
<0,'existing paid',100<=X<500,radio/tv,'\'(15.5-inf)\'','\'(-inf-3913.5]\'',car,bad
'no checking','critical/other existing credit','no known savings',radio/tv,'\'(15.5-inf)\'','\'(-inf-3913.5]\'','life insurance',good
<0,'no credits/all paid','no known savings',business,'\'(15.5-inf)\'','\'(3913.5-inf)\'',car,good
0<=X<200,'existing paid',<100,'used car','\'(15.5-inf)\'','\'(3913.5-inf)\'','no known property',bad
'no checking','existing paid',500<=X<1000,radio/tv,'\'(15.5-inf)\'','\'(-inf-3913.5]\'',car,good
