@relation 'crx-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.HiInfoGainPairAttributeEval-Sweka.attributeSelection.Ranker -T 0.4554 -N -1'

@attribute a11 {'\'(-inf-0.5]\'','\'(0.5-2.5]\'','\'(2.5-inf)\''}
@attribute a9 {t,f}
@attribute a10 {t,f}
@attribute a15 {'\'(-inf-492]\'','\'(492-inf)\''}
@attribute a6 {c,d,cc,i,j,k,m,r,q,w,x,e,aa,ff}
@attribute a13 {g,p,s}
@attribute a16 {+,-}

@data
'\'(0.5-2.5]\'',t,t,'\'(-inf-492]\'',w,g,+
'\'(2.5-inf)\'',t,t,'\'(492-inf)\'',q,g,+
'\'(-inf-0.5]\'',t,f,'\'(492-inf)\'',q,g,+
'\'(2.5-inf)\'',t,t,'\'(-inf-492]\'',w,g,+
'\'(-inf-0.5]\'',t,f,'\'(-inf-492]\'',w,s,+
'\'(-inf-0.5]\'',t,f,'\'(-inf-492]\'',m,g,+
'\'(-inf-0.5]\'',t,f,'\'(492-inf)\'',r,g,+
'\'(-inf-0.5]\'',t,f,'\'(492-inf)\'',cc,g,+
'\'(-inf-0.5]\'',t,f,'\'(-inf-492]\'',k,g,+
'\'(-inf-0.5]\'',t,f,'\'(492-inf)\'',w,g,+
'\'(-inf-0.5]\'',f,f,'\'(-inf-492]\'',c,g,+
'\'(-inf-0.5]\'',t,f,'\'(-inf-492]\'',c,g,+
'\'(-inf-0.5]\'',t,f,'\'(-inf-492]\'',k,g,+
'\'(-inf-0.5]\'',f,f,'\'(492-inf)\'',k,g,+
'\'(2.5-inf)\'',t,t,'\'(-inf-492]\'',q,g,+
'\'(2.5-inf)\'',t,t,'\'(-inf-492]\'',k,g,+
'\'(2.5-inf)\'',t,t,'\'(-inf-492]\'',m,g,+
'\'(2.5-inf)\'',t,t,'\'(-inf-492]\'',q,g,+
'\'(-inf-0.5]\'',t,f,'\'(-inf-492]\'',d,g,+
'\'(2.5-inf)\'',t,t,'\'(-inf-492]\'',cc,g,+
'\'(2.5-inf)\'',t,t,'\'(492-inf)\'',c,g,+
'\'(-inf-0.5]\'',t,f,'\'(-inf-492]\'',c,s,+
