@relation credit-poland-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6

@attribute att1 {'\'(-inf-0.113315]\'','\'(0.113315-0.456615]\'','\'(0.456615-inf)\''}
@attribute att2 {'\'(-inf-0.085298]\'','\'(0.085298-inf)\''}
@attribute att3 {'\'(-inf-1.28705]\'','\'(1.28705-inf)\''}
@attribute att4 {'\'All\''}
@attribute att5 {'\'(-inf-0.106115]\'','\'(0.106115-inf)\''}
@attribute att6 {'\'(-inf-0.041095]\'','\'(0.041095-inf)\''}
@attribute att7 {'\'All\''}
@attribute att8 {'\'All\''}
@attribute att9 {'\'(-inf--0.132005]\'','\'(-0.132005-0.020535]\'','\'(0.020535-inf)\''}
@attribute att10 {'\'(-inf--0.220225]\'','\'(-0.220225-0.072067]\'','\'(0.072067-inf)\''}
@attribute att11 {'\'(-inf--0.127655]\'','\'(-0.127655-0.12304]\'','\'(0.12304-inf)\''}
@attribute att12 {'\'(-inf--0.127655]\'','\'(-0.127655-0.15707]\'','\'(0.15707-inf)\''}
@attribute att13 {'\'(-inf-0.041149]\'','\'(0.041149-0.21693]\'','\'(0.21693-inf)\''}
@attribute att14 {'\'(-inf--0.15016]\'','\'(-0.15016-inf)\''}
@attribute att15 {'\'(-inf--0.276265]\'','\'(-0.276265-0.013886]\'','\'(0.013886-inf)\''}
@attribute att16 {'\'All\''}
@attribute att17 {'\'All\''}
@attribute att18 {'\'All\''}
@attribute att19 {'\'All\''}
@attribute att20 {'\'All\''}
@attribute att21 {'\'(-inf-0.25064]\'','\'(0.25064-inf)\''}
@attribute att22 {'\'(-inf-0.250395]\'','\'(0.250395-inf)\''}
@attribute att23 {'\'(-inf-0.779095]\'','\'(0.779095-inf)\''}
@attribute att24 {'\'(-inf--0.079754]\'','\'(-0.079754-0.031615]\'','\'(0.031615-inf)\''}
@attribute att25 {'\'(-inf-0.585465]\'','\'(0.585465-inf)\''}
@attribute att26 {'\'(-inf--1.037947]\'','\'(-1.037947-1.4244]\'','\'(1.4244-inf)\''}
@attribute att27 {'\'All\''}
@attribute att28 {'\'(-inf--1.041356]\'','\'(-1.041356-1.43375]\'','\'(1.43375-inf)\''}
@attribute att29 {'\'(-inf--0.098259]\'','\'(-0.098259-0.093529]\'','\'(0.093529-inf)\''}
@attribute att30 {'\'All\''}
@attribute class {0,1}

@data
'\'(-inf-0.113315]\'','\'(-inf-0.085298]\'','\'(-inf-1.28705]\'','\'All\'','\'(-inf-0.106115]\'','\'(-inf-0.041095]\'','\'All\'','\'All\'','\'(-0.132005-0.020535]\'','\'(-0.220225-0.072067]\'','\'(-inf--0.127655]\'','\'(-inf--0.127655]\'','\'(-inf-0.041149]\'','\'(-inf--0.15016]\'','\'(-inf--0.276265]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.25064-inf)\'','\'(0.250395-inf)\'','\'(-inf-0.779095]\'','\'(-0.079754-0.031615]\'','\'(0.585465-inf)\'','\'(1.4244-inf)\'','\'All\'','\'(1.43375-inf)\'','\'(-0.098259-0.093529]\'','\'All\'',1
'\'(-inf-0.113315]\'','\'(-inf-0.085298]\'','\'(-inf-1.28705]\'','\'All\'','\'(-inf-0.106115]\'','\'(-inf-0.041095]\'','\'All\'','\'All\'','\'(-inf--0.132005]\'','\'(-inf--0.220225]\'','\'(-inf--0.127655]\'','\'(-inf--0.127655]\'','\'(-inf-0.041149]\'','\'(-inf--0.15016]\'','\'(-inf--0.276265]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.25064-inf)\'','\'(0.250395-inf)\'','\'(-inf-0.779095]\'','\'(-inf--0.079754]\'','\'(0.585465-inf)\'','\'(-inf--1.037947]\'','\'All\'','\'(-inf--1.041356]\'','\'(-inf--0.098259]\'','\'All\'',1
'\'(-inf-0.113315]\'','\'(-inf-0.085298]\'','\'(-inf-1.28705]\'','\'All\'','\'(-inf-0.106115]\'','\'(-inf-0.041095]\'','\'All\'','\'All\'','\'(0.020535-inf)\'','\'(-0.220225-0.072067]\'','\'(-0.127655-0.12304]\'','\'(-0.127655-0.15707]\'','\'(-inf-0.041149]\'','\'(-0.15016-inf)\'','\'(0.013886-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.25064-inf)\'','\'(0.250395-inf)\'','\'(-inf-0.779095]\'','\'(-0.079754-0.031615]\'','\'(0.585465-inf)\'','\'(1.4244-inf)\'','\'All\'','\'(1.43375-inf)\'','\'(-0.098259-0.093529]\'','\'All\'',1
'\'(-inf-0.113315]\'','\'(-inf-0.085298]\'','\'(-inf-1.28705]\'','\'All\'','\'(-inf-0.106115]\'','\'(-inf-0.041095]\'','\'All\'','\'All\'','\'(0.020535-inf)\'','\'(0.072067-inf)\'','\'(0.12304-inf)\'','\'(0.15707-inf)\'','\'(0.041149-0.21693]\'','\'(-0.15016-inf)\'','\'(0.013886-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25064]\'','\'(-inf-0.250395]\'','\'(0.779095-inf)\'','\'(-0.079754-0.031615]\'','\'(0.585465-inf)\'','\'(1.4244-inf)\'','\'All\'','\'(1.43375-inf)\'','\'(0.093529-inf)\'','\'All\'',1
'\'(-inf-0.113315]\'','\'(-inf-0.085298]\'','\'(-inf-1.28705]\'','\'All\'','\'(-inf-0.106115]\'','\'(-inf-0.041095]\'','\'All\'','\'All\'','\'(-0.132005-0.020535]\'','\'(-0.220225-0.072067]\'','\'(-0.127655-0.12304]\'','\'(0.15707-inf)\'','\'(-inf-0.041149]\'','\'(-0.15016-inf)\'','\'(0.013886-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.25064-inf)\'','\'(0.250395-inf)\'','\'(-inf-0.779095]\'','\'(-0.079754-0.031615]\'','\'(0.585465-inf)\'','\'(1.4244-inf)\'','\'All\'','\'(1.43375-inf)\'','\'(-0.098259-0.093529]\'','\'All\'',1
'\'(-inf-0.113315]\'','\'(-inf-0.085298]\'','\'(-inf-1.28705]\'','\'All\'','\'(-inf-0.106115]\'','\'(-inf-0.041095]\'','\'All\'','\'All\'','\'(-0.132005-0.020535]\'','\'(-0.220225-0.072067]\'','\'(-0.127655-0.12304]\'','\'(0.15707-inf)\'','\'(-inf-0.041149]\'','\'(-0.15016-inf)\'','\'(0.013886-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.25064-inf)\'','\'(0.250395-inf)\'','\'(-inf-0.779095]\'','\'(-0.079754-0.031615]\'','\'(0.585465-inf)\'','\'(1.4244-inf)\'','\'All\'','\'(1.43375-inf)\'','\'(-0.098259-0.093529]\'','\'All\'',1
'\'(0.456615-inf)\'','\'(0.085298-inf)\'','\'(1.28705-inf)\'','\'All\'','\'(0.106115-inf)\'','\'(0.041095-inf)\'','\'All\'','\'All\'','\'(0.020535-inf)\'','\'(0.072067-inf)\'','\'(0.12304-inf)\'','\'(0.15707-inf)\'','\'(0.041149-0.21693]\'','\'(-0.15016-inf)\'','\'(0.013886-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.25064-inf)\'','\'(0.250395-inf)\'','\'(-inf-0.779095]\'','\'(0.031615-inf)\'','\'(0.585465-inf)\'','\'(1.4244-inf)\'','\'All\'','\'(-1.041356-1.43375]\'','\'(0.093529-inf)\'','\'All\'',0
'\'(0.456615-inf)\'','\'(0.085298-inf)\'','\'(1.28705-inf)\'','\'All\'','\'(0.106115-inf)\'','\'(0.041095-inf)\'','\'All\'','\'All\'','\'(0.020535-inf)\'','\'(0.072067-inf)\'','\'(0.12304-inf)\'','\'(0.15707-inf)\'','\'(0.041149-0.21693]\'','\'(-0.15016-inf)\'','\'(0.013886-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.25064-inf)\'','\'(0.250395-inf)\'','\'(-inf-0.779095]\'','\'(0.031615-inf)\'','\'(-inf-0.585465]\'','\'(-1.037947-1.4244]\'','\'All\'','\'(-1.041356-1.43375]\'','\'(0.093529-inf)\'','\'All\'',0
'\'(0.113315-0.456615]\'','\'(-inf-0.085298]\'','\'(-inf-1.28705]\'','\'All\'','\'(-inf-0.106115]\'','\'(-inf-0.041095]\'','\'All\'','\'All\'','\'(-inf--0.132005]\'','\'(-inf--0.220225]\'','\'(-inf--0.127655]\'','\'(-inf--0.127655]\'','\'(-inf-0.041149]\'','\'(-inf--0.15016]\'','\'(-inf--0.276265]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.25064-inf)\'','\'(0.250395-inf)\'','\'(-inf-0.779095]\'','\'(-inf--0.079754]\'','\'(0.585465-inf)\'','\'(-inf--1.037947]\'','\'All\'','\'(-inf--1.041356]\'','\'(-inf--0.098259]\'','\'All\'',1
'\'(-inf-0.113315]\'','\'(-inf-0.085298]\'','\'(-inf-1.28705]\'','\'All\'','\'(-inf-0.106115]\'','\'(-inf-0.041095]\'','\'All\'','\'All\'','\'(-0.132005-0.020535]\'','\'(-0.220225-0.072067]\'','\'(-inf--0.127655]\'','\'(-inf--0.127655]\'','\'(-inf-0.041149]\'','\'(-inf--0.15016]\'','\'(-inf--0.276265]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.25064-inf)\'','\'(0.250395-inf)\'','\'(-inf-0.779095]\'','\'(-inf--0.079754]\'','\'(-inf-0.585465]\'','\'(1.4244-inf)\'','\'All\'','\'(1.43375-inf)\'','\'(-0.098259-0.093529]\'','\'All\'',1
